Loyalty Number,Year,Month,Flights Booked,Flights with Companions,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed
100018,2017,1,3,0,3,1521,152,0,0
100102,2017,1,10,4,14,2030,203,0,0
100140,2017,1,6,0,6,1200,120,0,0
100214,2017,1,0,0,0,0,0,0,0
100272,2017,1,0,0,0,0,0,0,0
100301,2017,1,0,0,0,0,0,0,0
100364,2017,1,0,0,0,0,0,0,0
100380,2017,1,0,0,0,0,0,0,0
100428,2017,1,6,0,6,606,60,0,0
100504,2017,1,0,0,0,0,0,0,0
100550,2017,1,3,0,3,2037,203,0,0
863070,2017,9,8,7,15,4245,424,341,28
100590,2017,1,0,0,0,0,0,0,0
100642,2017,1,0,0,0,0,0,0,0
100644,2017,1,0,0,0,0,0,0,0
100646,2017,1,0,0,0,0,0,0,0
100727,2017,1,11,0,11,1144,114,0,0
100737,2017,1,0,0,0,0,0,0,0
100753,2017,1,8,4,12,3264,326,0,0
100816,2017,1,9,1,10,2340,234,0,0
100853,2017,1,6,6,12,1236,123,0,0
100883,2017,1,11,0,11,3124,312,0,0
100890,2017,1,8,0,8,2296,229,0,0
101018,2017,1,9,0,9,2772,277,0,0
101148,2017,1,0,0,0,0,0,0,0
101356,2017,1,0,0,0,0,0,0,0
101363,2017,1,8,0,8,2944,294,0,0
691626,2018,9,8,7,15,4245,424,341,28
101515,2017,1,11,0,11,1100,110,0,0
101540,2017,1,0,0,0,0,0,0,0
101544,2017,1,6,0,6,1332,133,0,0
101547,2017,1,0,0,0,0,0,0,0
101581,2017,1,6,0,6,2082,208,0,0
101594,2017,1,11,0,11,3399,339,0,0
101644,2017,1,0,0,0,0,0,0,0
101663,2017,1,0,0,0,0,0,0,0
101664,2017,1,4,4,8,3128,312,0,0
100504,2017,2,0,0,0,0,0,0,0
101768,2017,1,0,0,0,0,0,0,0
100504,2017,3,0,0,0,0,0,0,0
101895,2017,1,7,0,7,658,65,0,0
101902,2017,1,0,0,0,0,0,0,0
101902,2017,1,0,0,0,0,0,0,0
101945,2017,1,5,0,5,1510,151,0,0
102168,2017,1,0,0,0,0,0,0,0
102184,2017,1,0,0,0,0,0,0,0
102207,2017,1,0,0,0,0,0,0,0
102299,2017,1,0,0,0,0,0,0,0
102308,2017,1,0,0,0,0,0,0,0
102311,2017,1,6,3,9,2007,200,0,0
102376,2017,1,0,0,0,0,0,0,0
102464,2017,1,0,0,0,0,0,0,0
102615,2017,1,0,0,0,0,0,0,0
102726,2017,1,0,0,0,0,0,0,0
102730,2017,1,0,0,0,0,0,0,0
102740,2017,1,0,0,0,0,0,0,0
102788,2017,1,0,0,0,0,0,0,0
159942,2017,3,9,7,16,4576,457,364,30
102877,2017,1,2,0,2,2426,242,0,0
102982,2017,1,0,0,0,0,0,0,0
103043,2017,1,9,0,9,1026,102,0,0
103151,2017,1,0,0,0,0,0,0,0
103217,2017,1,10,5,15,1530,153,0,0
103304,2017,1,0,0,0,0,0,0,0
103340,2017,1,0,0,0,0,0,0,0
103352,2017,1,0,0,0,0,0,0,0
103359,2017,1,6,0,6,1098,109,0,0
103362,2017,1,0,0,0,0,0,0,0
103383,2017,1,0,0,0,0,0,0,0
103436,2017,1,0,0,0,0,0,0,0
103490,2017,1,6,4,10,2050,205,0,0
103502,2017,1,0,0,0,0,0,0,0
103536,2017,1,6,0,6,2088,208,0,0
103699,2017,1,0,0,0,0,0,0,0
103731,2017,1,10,0,10,1490,149,0,0
103758,2017,1,0,0,0,0,0,0,0
103823,2017,1,3,0,3,2547,254,0,0
103860,2017,1,2,0,2,2026,202,0,0
103862,2017,1,0,0,0,0,0,0,0
103916,2017,1,1,0,1,346,34,0,0
103969,2017,1,9,3,12,2724,272,0,0
103970,2017,1,6,6,12,3480,348,0,0
103975,2017,1,0,0,0,0,0,0,0
103985,2017,1,0,0,0,0,0,0,0
104103,2017,1,3,3,6,2334,233,0,0
104267,2017,1,0,0,0,0,0,0,0
104353,2017,1,11,6,17,1343,134,0,0
627915,2018,11,7,6,13,3757,375,310,25
100504,2017,4,0,0,0,0,0,0,0
104586,2017,1,1,1,2,484,48,0,0
104673,2017,1,6,2,8,3152,315,0,0
104732,2017,1,0,0,0,0,0,0,0
104739,2017,1,0,0,0,0,0,0,0
104849,2017,1,0,0,0,0,0,0,0
104960,2017,1,0,0,0,0,0,0,0
105063,2017,1,0,0,0,0,0,0,0
105073,2017,1,0,0,0,0,0,0,0
105074,2017,1,6,0,6,2076,207,0,0
105145,2017,1,0,0,0,0,0,0,0
105193,2017,1,0,0,0,0,0,0,0
105214,2017,1,11,0,11,2783,278,0,0
100504,2017,5,0,0,0,0,0,0,0
471706,2018,7,12,10,22,5896,589,445,36
105352,2017,1,0,0,0,0,0,0,0
105552,2017,1,0,0,0,0,0,0,0
105688,2017,1,4,0,4,932,93,0,0
105700,2017,1,0,0,0,0,0,0,0
105712,2017,1,11,6,17,2771,277,0,0
105789,2017,1,10,0,10,840,84,0,0
105835,2017,1,0,0,0,0,0,0,0
105841,2017,1,0,0,0,0,0,0,0
105921,2017,1,0,0,0,0,0,0,0
105932,2017,1,13,6,19,1653,165,0,0
105992,2017,1,10,0,10,2190,219,0,0
106001,2017,1,9,4,13,1365,136,0,0
106001,2017,1,5,0,5,910,91,0,0
106037,2017,1,5,3,8,1328,132,0,0
106038,2017,1,3,0,3,2418,241,0,0
106046,2017,1,8,0,8,2472,247,0,0
106048,2017,1,0,0,0,0,0,0,0
107119,2017,11,10,6,16,3936,393,312,25
106397,2017,1,5,0,5,430,43,0,0
106444,2017,1,0,0,0,0,0,0,0
106477,2017,1,2,0,2,1866,186,0,0
100504,2017,6,0,0,0,0,0,0,0
100504,2017,7,0,0,0,0,0,0,0
106589,2017,1,0,0,0,0,0,0,0
106592,2017,1,8,0,8,1520,152,0,0
106616,2017,1,0,0,0,0,0,0,0
106623,2017,1,0,0,0,0,0,0,0
106637,2017,1,0,0,0,0,0,0,0
106689,2017,1,0,0,0,0,0,0,0
516133,2018,11,10,6,16,3936,393,312,25
106757,2017,1,4,1,5,1170,117,0,0
106776,2017,1,0,0,0,0,0,0,0
106838,2017,1,3,3,6,1416,141,0,0
106839,2017,1,2,0,2,1984,198,0,0
106936,2017,1,0,0,0,0,0,0,0
444931,2017,9,11,7,18,4428,442,343,28
106964,2017,1,0,0,0,0,0,0,0
106978,2017,1,1,0,1,1125,112,0,0
106979,2017,1,8,4,12,2004,200,0,0
107037,2017,1,0,0,0,0,0,0,0
107067,2017,1,5,0,5,2735,273,0,0
107119,2017,1,8,4,12,2508,250,0,0
107141,2017,1,2,0,2,1162,116,0,0
107203,2017,1,0,0,0,0,0,0,0
107212,2017,1,12,3,15,2490,249,0,0
107296,2017,1,0,0,0,0,0,0,0
107385,2017,1,0,0,0,0,0,0,0
100504,2017,8,10,4,14,966,96,0,0
107461,2017,1,1,0,1,526,52,0,0
107466,2017,1,0,0,0,0,0,0,0
107487,2017,1,0,0,0,0,0,0,0
100504,2017,9,0,0,0,0,0,0,0
107571,2017,1,0,0,0,0,0,0,0
107649,2017,1,10,1,11,2321,232,0,0
107719,2017,1,0,0,0,0,0,0,0
107730,2017,1,0,0,0,0,0,0,0
107835,2017,1,0,0,0,0,0,0,0
107902,2017,1,11,0,11,2365,236,0,0
107993,2017,1,5,4,9,3303,330,0,0
108264,2017,1,4,0,4,2008,200,0,0
100504,2017,10,14,0,14,3570,357,0,0
100504,2017,11,9,0,9,2700,270,0,0
409051,2018,9,11,7,18,4428,442,343,28
572345,2018,5,12,7,19,4769,476,366,30
108440,2017,1,7,3,10,970,97,0,0
108462,2017,1,0,0,0,0,0,0,0
108481,2017,1,0,0,0,0,0,0,0
108528,2017,1,1,0,1,335,33,0,0
108625,2017,1,5,5,10,2730,273,0,0
108666,2017,1,0,0,0,0,0,0,0
100504,2017,12,11,0,11,1375,137,0,0
100504,2018,1,10,0,10,2490,249,0,0
108907,2017,1,0,0,0,0,0,0,0
109022,2017,1,6,4,10,800,80,0,0
245419,2017,12,13,8,21,5166,516,389,32
109029,2017,1,0,0,0,0,0,0,0
109203,2017,1,4,0,4,408,40,0,0
109399,2017,1,11,0,11,2112,211,0,0
109478,2017,1,2,0,2,562,56,0,0
109495,2017,1,0,0,0,0,0,0,0
109517,2017,1,4,0,4,1156,115,0,0
109552,2017,1,12,2,14,3388,338,0,0
100504,2018,2,11,0,11,1474,183.75,0,0
109660,2017,1,4,3,7,1974,197,0,0
109767,2017,1,9,0,9,684,68,0,0
109840,2017,1,4,0,4,1200,120,0,0
109896,2017,1,0,0,0,0,0,0,0
109903,2017,1,2,2,4,528,52,0,0
100504,2018,4,0,0,0,0,0,0,0
110001,2017,1,4,3,7,2821,282,0,0
100504,2018,3,2,2,4,3336,416.25,0,0
110065,2017,1,0,0,0,0,0,0,0
110073,2017,1,0,0,0,0,0,0,0
110099,2017,1,0,0,0,0,0,0,0
100504,2018,5,0,0,0,0,0,0,0
110170,2017,1,0,0,0,0,0,0,0
100504,2018,6,0,0,0,0,0,0,0
110262,2017,1,2,0,2,2840,284,0,0
110296,2017,1,0,0,0,0,0,0,0
110394,2017,1,3,0,3,555,55,0,0
110422,2017,1,0,0,0,0,0,0,0
110476,2017,1,0,0,0,0,0,0,0
